seccion,calificacion,cantidad,genero
speak 1,Pre - A1,10,0
speak 1,A1,9,0
speak 1,A2,11,0
speak 1,Pre - A1,9,1
speak 1,A1,12,1
speak 1,A2,9,1
speak 2,Pre - A1,2,0
speak 2,A1,7,0
speak 2,A2,3,0
speak 2,Pre - A1,8,1
speak 2,A1,1,1
speak 2,A2,6,1
reading,Pre - A1,3,0
reading,A1 -,5,0
reading,A1,9,0
reading,A1 +,5,0
reading,A2 -,3,0
reading,A2,3,0
reading,A2 +,1,0
reading,Pre - A1,4,1
reading,A1 -,6,1
reading,A1,4,1
reading,A1 +,4,1
reading,A2 -,6,1
reading,A2,4,1
reading,A2 +,4,1
listening,Pre - A1,3,0
listening,A1 -,1,0
listening,A1,3,0
listening,A1 +,2,0
listening,A2 -,1,0
listening,A2,2,0
listening,A2 +,2,0
listening,Pre - A1,1,1
listening,A1 -,4,1
listening,A1,1,1
listening,A1 +,4,1
listening,A2 -,2,1
listening,A2,1,1
listening,A2 +,1,1
