seccion,calificacion,cantidad,genero
speak 1,Pre - A1,11,0
speak 1,A1,9,0
speak 1,A2,2,0
speak 2,Pre - A1,6,0
speak 2,A1,15,0
speak 2,A2,1,0
reading,Pre - A1,0,0
reading,A1 -,3,0
reading,A1,6,0
reading,A1 +,5,0
reading,A2 -,4,0
reading,A2,3,0
reading,A2 +,1,0
listening,Pre - A1,1,0
listening,A1 -,5,0
listening,A1,7,0
listening,A1 +,5,0
listening,A2 -,2,0
listening,A2,2,0
listening,A2 +,0,0
speak 1,Pre - A1,15,1
speak 1,A1,21,1
speak 1,A2,2,1
speak 2,Pre - A1,13,1
speak 2,A1,23,1
speak 2,A2,2,1
reading,Pre - A1,1,1
reading,A1 -,1,1
reading,A1,4,1
reading,A1 +,7,1
reading,A2 -,19,1
reading,A2,4,1
reading,A2 +,2,1
listening,Pre - A1,0,1
listening,A1 -,14,1
listening,A1,10,1
listening,A1 +,9,1
listening,A2 -,5,1
listening,A2,0,1
listening,A2 +,0,1
