Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,54,Masculino
speak 1,A1,0,Masculino
speak 1,A2,1,Masculino
speak 2,Pre - A1,54,Masculino
speak 2,A1,0,Masculino
speak 2,A2,1,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,0,Masculino
reading,A1,3,Masculino
reading,A1 +,9,Masculino
reading,A2 -,13,Masculino
reading,A2,15,Masculino
reading,A2 +,15,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,6,Masculino
listening,A1,5,Masculino
listening,A1 +,15,Masculino
listening,A2 -,9,Masculino
listening,A2,11,Masculino
listening,A2 +,9,Masculino
speak 1,Pre - A1,30,Femenino
speak 1,A1,1,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,30,Femenino
speak 2,A1,1,Femenino
speak 2,A2,0,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,3,Femenino
reading,A1 +,2,Femenino
reading,A2 -,5,Femenino
reading,A2,6,Femenino
reading,A2 +,13,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,2,Femenino
listening,A1,3,Femenino
listening,A1 +,8,Femenino
listening,A2 -,5,Femenino
listening,A2,10,Femenino
listening,A2 +,3,Femenino
