seccion,calificacion,cantidad,genero
speak 1,Pre - A1,14,0
speak 1,A1,1,0
speak 1,A2,16,0
speak 1,Pre - A1,14,1
speak 1,A1,1,1
speak 1,A2,16,1
speak 2,Pre - A1,0,0
speak 2,A1,1,0
speak 2,A2,2,0
speak 2,Pre - A1,1,1
speak 2,A1,8,1
speak 2,A2,14,1
reading,Pre - A1,5,0
reading,A1 -,0,0
reading,A1,0,0
reading,A1 +,2,0
reading,A2 -,9,0
reading,A2,3,0
reading,A2 +,7,0
reading,Pre - A1,10,1
reading,A1 -,17,1
reading,A1,0,1
reading,A1 +,11,1
reading,A2 -,17,1
reading,A2,1,1
reading,A2 +,10,1
listening,Pre - A1,0,0
listening,A1 -,0,0
listening,A1,0,0
listening,A1 +,0,0
listening,A2 -,7,0
listening,A2,16,0
listening,A2 +,5,0
listening,Pre - A1,0,1
listening,A1 -,0,1
listening,A1,0,1
listening,A1 +,3,1
listening,A2 -,4,1
listening,A2,8,1
listening,A2 +,13,1
