Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,13,Masculino
speak 1,A1,19,Masculino
speak 1,A2,5,Masculino
speak 2,Pre - A1,13,Masculino
speak 2,A1,19,Masculino
speak 2,A2,5,Masculino
reading,Pre - A1,2,Masculino
reading,A1 -,3,Masculino
reading,A1,14,Masculino
reading,A1 +,6,Masculino
reading,A2 -,3,Masculino
reading,A2,6,Masculino
reading,A2 +,3,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,9,Masculino
listening,A1,9,Masculino
listening,A1 +,10,Masculino
listening,A2 -,6,Masculino
listening,A2,2,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,11,Femenino
speak 1,A1,32,Femenino
speak 1,A2,6,Femenino
speak 2,Pre - A1,12,Femenino
speak 2,A1,31,Femenino
speak 2,A2,6,Femenino
reading,Pre - A1,4,Femenino
reading,A1 -,6,Femenino
reading,A1,5,Femenino
reading,A1 +,5,Femenino
reading,A2 -,11,Femenino
reading,A2,16,Femenino
reading,A2 +,2,Femenino
listening,Pre - A1,1,Femenino
listening,A1 -,3,Femenino
listening,A1,11,Femenino
listening,A1 +,14,Femenino
listening,A2 -,8,Femenino
listening,A2,10,Femenino
listening,A2 +,2,Femenino
