seccion,calificacion,cantidad,genero
speak 1,Pre - A1,15,0
speak 1,A1,13,0
speak 1,A2,12,0
speak 1,Pre - A1,13,1
speak 1,A1,11,1
speak 1,A2,16,1
speak 2,Pre - A1,7,0
speak 2,A1,6,0
speak 2,A2,8,0
speak 2,Pre - A1,5,1
speak 2,A1,6,1
speak 2,A2,3,1
reading,Pre - A1,5,0
reading,A1 -,10,0
reading,A1,3,0
reading,A1 +,6,0
reading,A2 -,5,0
reading,A2,8,0
reading,A2 +,2,0
reading,Pre - A1,6,1
reading,A1 -,10,1
reading,A1,12,1
reading,A1 +,9,1
reading,A2 -,12,1
reading,A2,7,1
reading,A2 +,12,1
listening,Pre - A1,7,0
listening,A1 -,2,0
listening,A1,4,0
listening,A1 +,7,0
listening,A2 -,2,0
listening,A2,4,0
listening,A2 +,5,0
listening,Pre - A1,6,1
listening,A1 -,4,1
listening,A1,1,1
listening,A1 +,6,1
listening,A2 -,5,1
listening,A2,4,1
listening,A2 +,5,1
