seccion,calificacion,cantidad,genero
speak 1,Pre - A1,18,0
speak 1,A1,4,0
speak 1,A2,0,0
speak 1,Pre - A1,18,1
speak 1,A1,4,1
speak 1,A2,0,1
speak 2,Pre - A1,2,0
speak 2,A1,5,0
speak 2,A2,9,0
speak 2,Pre - A1,4,1
speak 2,A1,0,1
speak 2,A2,1,1
reading,Pre - A1,1,0
reading,A1 -,2,0
reading,A1,6,0
reading,A1 +,10,0
reading,A2 -,2,0
reading,A2,0,0
reading,A2 +,1,0
reading,Pre - A1,1,1
reading,A1 -,16,1
reading,A1,5,1
reading,A1 +,0,1
reading,A2 -,16,1
reading,A2,5,1
reading,A2 +,0,1
listening,Pre - A1,2,0
listening,A1 -,3,0
listening,A1,5,0
listening,A1 +,8,0
listening,A2 -,1,0
listening,A2,2,0
listening,A2 +,0,0
listening,Pre - A1,1,1
listening,A1 -,5,1
listening,A1,11,1
listening,A1 +,2,1
listening,A2 -,1,1
listening,A2,1,1
listening,A2 +,0,1
