Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,15,Masculino
speak 1,A1,18,Masculino
speak 1,A2,6,Masculino
speak 2,Pre - A1,11,Masculino
speak 2,A1,20,Masculino
speak 2,A2,8,Masculino
reading,Pre - A1,5,Masculino
reading,A1 -,3,Masculino
reading,A1,8,Masculino
reading,A1 +,4,Masculino
reading,A2 -,10,Masculino
reading,A2,3,Masculino
reading,A2 +,6,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,10,Masculino
listening,A1,6,Masculino
listening,A1 +,11,Masculino
listening,A2 -,2,Masculino
listening,A2,4,Masculino
listening,A2 +,4,Masculino
speak 1,Pre - A1,7,Femenino
speak 1,A1,16,Femenino
speak 1,A2,11,Femenino
speak 2,Pre - A1,8,Femenino
speak 2,A1,18,Femenino
speak 2,A2,8,Femenino
reading,Pre - A1,2,Femenino
reading,A1 -,2,Femenino
reading,A1,7,Femenino
reading,A1 +,3,Femenino
reading,A2 -,6,Femenino
reading,A2,11,Femenino
reading,A2 +,3,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,4,Femenino
listening,A1,11,Femenino
listening,A1 +,6,Femenino
listening,A2 -,5,Femenino
listening,A2,4,Femenino
listening,A2 +,4,Femenino
