seccion,calificacion,cantidad,genero
speak 1,Pre - A1,0,0
speak 1,A1,1,0
speak 1,A2,0,0
speak 2,Pre - A1,1,0
speak 2,A1,0,0
speak 2,A2,0,0
reading,Pre - A1,0,0
reading,A1 -,1,0
reading,A1,0,0
reading,A1 +,0,0
reading,A2 -,0,0
reading,A2,0,0
reading,A2 +,0,0
listening,Pre - A1,0,0
listening,A1 -,1,0
listening,A1,0,0
listening,A1 +,0,0
listening,A2 -,0,0
listening,A2,0,0
listening,A2 +,0,0
speak 1,Pre - A1,2,1
speak 1,A1,0,1
speak 1,A2,1,1
speak 2,Pre - A1,2,1
speak 2,A1,1,1
speak 2,A2,0,1
reading,Pre - A1,0,1
reading,A1 -,0,1
reading,A1,1,1
reading,A1 +,0,1
reading,A2 -,1,1
reading,A2,1,1
reading,A2 +,0,1
listening,Pre - A1,0,1
listening,A1 -,3,1
listening,A1,0,1
listening,A1 +,0,1
listening,A2 -,0,1
listening,A2,0,1
listening,A2 +,0,1
