Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,7,11
speak 1,A1,35,11
speak 1,A2,32,11
speak 2,Pre - A1,11,11
speak 2,A1,36,11
speak 2,A2,27,11
reading,Pre - A1,4,11
reading,A1 -,5,11
reading,A1,7,11
reading,A1 +,19,11
reading,A2 -,14,11
reading,A2,9,11
reading,A2 +,16,11
listening,Pre - A1,0,11
listening,A1 -,3,11
listening,A1,7,11
listening,A1 +,24,11
listening,A2 -,9,11
listening,A2,22,11
listening,A2 +,9,11
speak 1,Pre - A1,4,10
speak 1,A1,4,10
speak 1,A2,4,10
speak 2,Pre - A1,1,10
speak 2,A1,9,10
speak 2,A2,2,10
reading,Pre - A1,0,10
reading,A1 -,1,10
reading,A1,3,10
reading,A1 +,4,10
reading,A2 -,1,10
reading,A2,1,10
reading,A2 +,2,10
listening,Pre - A1,0,10
listening,A1 -,1,10
listening,A1,4,10
listening,A1 +,2,10
listening,A2 -,3,10
listening,A2,0,10
listening,A2 +,2,10
