Porcentaje de error de revisores,Frecuencia
0.0,274
1.25,169
2.5,119
2.0,98
3.25,60
4.5,42
4.0,33
3.75,30
5.25,23
5.75,21
6.5,15
10.0,13
7.25,12
7.0,11
5.0,9
6.25,9
3.12,8
16.5,8
7.75,8
17.0,7
9.25,7
6.0,7
12.5,7
8.25,6
13.25,6
10.5,6
13.75,6
8.0,5
24.5,5
28.5,5
15.25,5
29.0,5
8.75,4
21.0,4
28.75,4
17.5,4
8.5,4
19.75,4
21.25,4
22.0,4
10.25,4
16.25,4
11.0,3
15.75,3
17.75,3
14.5,3
25.75,3
40.25,3
18.25,3
23.25,3
13.0,3
1.88,3
31.25,3
34.0,3
11.25,3
11.75,3
20.25,3
7.5,2
20.5,2
24.0,2
18.5,2
39.25,2
73.75,2
23.5,2
22.25,2
44.75,2
42.25,2
14.75,2
32.75,2
25.0,2
29.25,2
18.75,2
82.5,2
27.75,2
13.5,2
51.0,2
32.5,2
12.0,2
12.25,2
35.75,2
35.25,2
22.75,2
9.0,2
37.75,2
21.75,2
42.0,2
15.0,2
21.5,2
30.5,2
31.0,2
0.62,2
45.0,2
68.75,2
53.75,2
19.5,2
3.88,2
44.0,2
51.75,2
45.25,2
48.0,2
17.25,1
43.5,1
46.25,1
24.25,1
36.75,1
58.75,1
28.0,1
30.25,1
80.75,1
18.0,1
65.75,1
83.25,1
58.0,1
76.5,1
79.25,1
70.5,1
55.5,1
37.25,1
7.12,1
25.25,1
19.0,1
55.75,1
14.25,1
14.0,1
54.25,1
59.75,1
49.25,1
20.0,1
9.75,1
38.0,1
4.38,1
50.75,1
41.0,1
62.5,1
7.88,1
10.75,1
6.38,1
33.75,1
12.38,1
7.62,1
12.75,1
22.5,1
24.75,1
74.0,1
52.5,1
26.25,1
40.5,1
56.0,1
71.5,1
47.0,1
40.75,1
42.75,1
41.25,1
30.0,1
76.75,1
38.5,1
26.75,1
38.25,1
56.5,1
29.75,1
27.25,1
38.75,1
35.0,1
50.0,1
43.75,1
33.0,1
37.5,1
58.25,1
19.25,1
34.5,1
20.75,1
25.5,1
26.5,1
53.0,1
52.25,1
51.5,1
49.75,1
32.0,1
43.25,1
41.75,1
48.75,1
48.5,1
39.5,1
27.0,1
30.75,1
