Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,22,Masculino
speak 1,A1,27,Masculino
speak 1,A2,9,Masculino
speak 2,Pre - A1,23,Masculino
speak 2,A1,27,Masculino
speak 2,A2,8,Masculino
reading,Pre - A1,8,Masculino
reading,A1 -,5,Masculino
reading,A1,14,Masculino
reading,A1 +,10,Masculino
reading,A2 -,9,Masculino
reading,A2,7,Masculino
reading,A2 +,5,Masculino
listening,Pre - A1,2,Masculino
listening,A1 -,10,Masculino
listening,A1,13,Masculino
listening,A1 +,13,Masculino
listening,A2 -,11,Masculino
listening,A2,6,Masculino
listening,A2 +,2,Masculino
speak 1,Pre - A1,20,Femenino
speak 1,A1,23,Femenino
speak 1,A2,4,Femenino
speak 2,Pre - A1,20,Femenino
speak 2,A1,21,Femenino
speak 2,A2,6,Femenino
reading,Pre - A1,6,Femenino
reading,A1 -,2,Femenino
reading,A1,8,Femenino
reading,A1 +,11,Femenino
reading,A2 -,9,Femenino
reading,A2,4,Femenino
reading,A2 +,7,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,11,Femenino
listening,A1,7,Femenino
listening,A1 +,11,Femenino
listening,A2 -,9,Femenino
listening,A2,4,Femenino
listening,A2 +,5,Femenino
