Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,LEONA VICARIO - 28DPR1169O,76.19,79.91489361702128,79.76,69.55,68.22,68.88,A2,A2 -,A2,A2,A2,20,32,6,5,6
2,CLUB DE LEONES - 28DPR1142H,65.55,67.16279069767442,74.97,57.41,51.6,54.51,A2 -,A1 +,A2,A1,A1,17,30,5,4,4
3,IGNACIO LOPEZ RAYON - 28DPR2164Z,64.58,74.55319148936171,82.07,39.89,34.31,37.1,A2 -,A2 -,A1,A1,A1,19,33,3,3,3
4,ENRIQUE C. REBSAMEN - 28DPR1139U,63.45,84.43636363636364,82.95,23.18,22.73,22.95,A2,A2 -,A1,A1,A1,21,33,2,2,2
5,JOSE VASCONCELOS - 28DPR2098R,56.6,63.75999999999999,69.05,34.25,39.75,37.0,A1 +,A1 +,A1,A1,A1,16,28,3,3,3
6,DISTRIBUIDORES NISSAN NUM. 37 - 28DPR2463Y,55.85,51.06382978723404,66.76,50.27,49.2,49.73,A1,A1 +,A1,A1,A1,13,27,4,4,4
7,HIMNO NACIONAL - 28DPR1130C,55.49,62.63013698630138,63.87,39.9,40.07,39.98,A1 +,A1 +,A1,A1,A1,16,26,3,3,3
8,CLUB ROTARIO - 28DPR1143G,52.71,63.46666666666667,69.46,28.96,21.46,25.21,A1 +,A1 +,A1,A1,A1,16,28,2,2,2
9,LA CORREGIDORA - 28DPR1173A,52.41,58.27272727272727,65.57,34.66,32.1,33.38,A1 +,A1 +,A1,A1,A1,15,26,3,3,3
10,ANTONIO ALVAREZ BERRONES - 28DPR1121V,52.06,63.744680851063826,64.79,25.53,29.79,27.66,A1 +,A1 +,A1,A1,A1,16,26,2,2,2
11,SIMON BOLIVAR - 28DPR0039O,51.78,63.901234567901234,58.73,31.33,34.1,32.72,A1 +,A1,A1,A1,A1,16,23,3,3,3
12,VENUSTIANO CARRANZA - 28DPR1686Z,50.67,64.0,56.42,29.09,34.05,31.57,A1 +,A1,A1,A1,A1,16,23,2,3,3
13,ELVIRA SALDAÑA MORALES - 28DPR2274F,50.07,62.09090909090909,70.51,16.19,19.03,17.61,A1 +,A1 +,A1,A1,A1,16,28,1,2,1
14,LIC. LUIS DONALDO COLOSIO MURRIETA - 28DPR2239Z,50.0,59.42857142857143,59.87,29.46,31.92,30.69,A1 +,A1,A1,A1,A1,15,24,2,3,2
15,LAZARO CARDENAS DEL RIO - 28DPR2143N,49.3,56.61538461538461,53.32,36.06,39.9,37.98,A1 +,A1,A1,A1,A1,14,21,3,3,3
16,IGNACIO JOSE ALLENDE - 28DPR2149H,49.14,55.3,59.63,32.19,32.81,32.5,A1 +,A1,A1,A1,A1,14,24,3,3,3
17,PROF. JOSE MARTINEZ Y MARTINEZ - 28DPR0074U,47.67,65.6,64.28,13.28,12.97,13.12,A1 +,A1 +,A1,A1,A1,16,26,1,1,1
18,JUAN B. TIJERINA - 28DPR1125R,46.43,48.0,62.09,27.95,30.45,29.2,A1,A1 +,A1,A1,A1,12,25,2,2,2
19,LIC. EMILIO PORTES GIL - 28DPR1593K,43.77,56.86486486486486,56.11,17.74,18.92,18.33,A1 +,A1,A1,A1,A1,14,22,1,2,1
20,PROF. EUTIMIO MARTINEZ LARA - 28DPR0513B,38.59,50.761904761904766,60.24,6.25,3.27,4.76,A1,A1,Pre - A1,Pre - A1,Pre - A1,13,24,0,0,0
