Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,22,Masculino
speak 1,A1,27,Masculino
speak 1,A2,9,Masculino
speak 2,Pre - A1,27,Masculino
speak 2,A1,23,Masculino
speak 2,A2,8,Masculino
reading,Pre - A1,1,Masculino
reading,A1 -,3,Masculino
reading,A1,11,Masculino
reading,A1 +,9,Masculino
reading,A2 -,13,Masculino
reading,A2,9,Masculino
reading,A2 +,12,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,1,Masculino
listening,A1,15,Masculino
listening,A1 +,26,Masculino
listening,A2 -,7,Masculino
listening,A2,8,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,13,Femenino
speak 1,A1,26,Femenino
speak 1,A2,3,Femenino
speak 2,Pre - A1,21,Femenino
speak 2,A1,19,Femenino
speak 2,A2,2,Femenino
reading,Pre - A1,2,Femenino
reading,A1 -,1,Femenino
reading,A1,4,Femenino
reading,A1 +,13,Femenino
reading,A2 -,7,Femenino
reading,A2,12,Femenino
reading,A2 +,3,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,1,Femenino
listening,A1,16,Femenino
listening,A1 +,11,Femenino
listening,A2 -,6,Femenino
listening,A2,8,Femenino
listening,A2 +,0,Femenino
