Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,ENRIQUE C. REBSAMEN - 28DPR0085Z,80.0,80.0,85.0,75.0,75.0,75.0,A2,A2,A2,A2,A2,20,34,6,6,6
2,PROF. FRANCISCO NICODEMO - 28DPR0770R,71.58,76.0,82.5,62.5,50.0,56.25,A2 -,A2 -,A2,A1,A1,19,33,5,4,4
3,MIGUEL HIDALGO - 28DPR0774N,64.33,68.0,75.0,50.0,50.0,50.0,A2 -,A1 +,A1,A1,A1,17,30,4,4,4
4,FELIPE CARRILLO PUERTO - 28DPR1403C,64.0,72.0,70.0,50.0,50.0,50.0,A2 -,A1 +,A1,A1,A1,18,28,4,4,4
5,FORD NUM. 16 - 28DPR0754Z,57.5,60.0,62.5,50.0,50.0,50.0,A1 +,A1 +,A1,A1,A1,15,25,4,4,4
6,RAUL FLORES GARCIA - 28DPR2381O,57.17,64.0,70.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,28,3,3,3
7,GRAL. EMILIANO ZAPATA - 28DPR1433X,51.75,64.0,60.0,25.0,37.5,31.25,A1 +,A1,A1,A1,A1,16,24,2,3,2
8,MOCTEZUMA - 28DPR2452S,51.67,80.0,75.0,0.0,0.0,0.0,A2,A1 +,Pre - A1,Pre - A1,Pre - A1,20,30,0,0,0
9,ARQUIMEDES CABALLERO CABALLERO - 28DPR2481N,51.67,60.0,70.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,15,28,2,2,2
10,EL CHAMIZAL - 28DPR1427M,51.33,64.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,26,2,2,2
11,JULIAN ERNESTO ZAMORA RIVAS - 28DPR2504H,41.83,48.0,65.0,12.5,12.5,12.5,A1,A1 +,A1,A1,A1,12,26,1,1,1
12,ARTICULO 27 CONSTITUCIONAL - 28DPR0806P,38.5,48.0,55.0,12.5,12.5,12.5,A1,A1,A1,A1,A1,12,22,1,1,1
13,FELIPE ANGELES - 28DPR2081R,25.33,36.0,40.0,0.0,0.0,0.0,A1 -,A1 -,Pre - A1,Pre - A1,Pre - A1,9,16,0,0,0
